geneName droNov galGal
STAP1 DNOV00015616 428761
DLGAP1 DNOV00005465 428520
PLEKHN1 DNOV00010623 771179
PABPN1 DNOV00014741 769028
PDLIM7 DNOV00002706 416362
PDLIM5 DNOV00016259 422699
FAM160B1 DNOV00012244 423912
LOC101752055 DNOV00005195 101752055
PPP1R3D DNOV00015302 419220
LASP1 DNOV00015451 420002
RAB28 DNOV00003392 422839
PROX1 DNOV00014896 395802
PROX2 DNOV00004000 101749071
HOXC13 DNOV00017897 771955
CC2D2A DNOV00003384 422830
SMYD1 DNOV00006373 373960
GNAQ DNOV00014052 427262
GNA11 DNOV00008998 374077
AMPD3 DNOV00003078 423041
AMPD1 DNOV00000204 772125
CPQ DNOV00005076 420238
FGF13 DNOV00001550 414831
FGF12 DNOV00009670 395704
INSR DNOV00008539 420133
MCCC1 DNOV00006031 424962
PCCA DNOV00014200 418774
PSD DNOV00007054 423760
CLSTN2 DNOV00001846 424819
CLSTN1 DNOV00004644 395372
LOC101752175 DNOV00018722 101752175
LOC421584 DNOV00006001 421584
NUP160 DNOV00014303 431122
EBF1 DNOV00005611 395512
MDGA1 DNOV00004951 421431
CLASP2 DNOV00013474 420724
CCR8L DNOV00008176 776400
HTR2C DNOV00001593 428707
ZP3 DNOV00002884 378906
ZP3L2 DNOV00002879 415314
ZP3L1 DNOV00013142 415305
CSDA DNOV00014154 396371
ELOVL7 DNOV00010141 431579
NR4A3 DNOV00016227 420996
NR4A2 DNOV00015897 424320
CACNB4 DNOV00015889 374259
LOC777366 DNOV00015445 777366
LOC414835 DNOV00005063 414835
THSD7A DNOV00003855 420585
CLPTM1L DNOV00014821 420973
RCAN2 DNOV00011048 422057
SPIRE1 DNOV00009430 421033
IKZF1 DNOV00014559 395974
SIN3B DNOV00008546 420140
CDC40 DNOV00006627 421760
LOC100857565 DNOV00013887 100857565
KIAA1328 DNOV00016563 426890
HDAC4 DNOV00012804 374207
HDAC8 DNOV00013019 422182
NTM DNOV00012653 395450
LOC100857889 DNOV00012745 100857889
MAPRE2 DNOV00013222 421105
CCNA1 DNOV00014543 418901
HMX1 DNOV00003436 396546
VWA3A DNOV00001904 416616
LRMP DNOV00010520 418205
ARHGAP27 DNOV00009072 770740
ARHGAP12 DNOV00008268 420473
SGCE DNOV00000995 420567
COBLL1 DNOV00000103 424182
NRG1 DNOV00009394 373906
TNKS1BP1 DNOV00018281 423136
LOC426106 DNOV00016521 426106
SSB DNOV00000070 395268
BICC1 DNOV00011986 423604
HDLBP DNOV00011100 395984
OXCT1 DNOV00018153 427190
EXOC6 DNOV00006573 423807
EXOC6B DNOV00018069 422955
DLX6 DNOV00013171 772070
DLX1 DNOV00000051 429283
DLX5 DNOV00013170 373969
LOC100857919 DNOV00002367 100857919
MLXIPL DNOV00013893 101751014
REEP6 DNOV00016267 427265
DPF3 DNOV00001117 395351
LOC100857497 DNOV00011989 100857497
LOC771897 DNOV00006132 771897
ABHD12 DNOV00010190 421249
LOC101749340 DNOV00007274 101749340
POLQ DNOV00010757 418326
SH3PXD2A DNOV00007247 423876
SLC37A3 DNOV00006326 418112
FAM83C DNOV00006971 769474
FAM83G DNOV00005294 101751551
LOC429657 DNOV00016880 429657
LOC395824 DNOV00005913 395824
KIAA1432 DNOV00012159 427226
ZDHHC18 DNOV00001429 419575
PDCD7 DNOV00006800 415528
UBAP1 DNOV00016139 431652
MBOAT1 DNOV00011561 420826
MBOAT2 DNOV00007452 421925
DENND5B DNOV00004349 418139
DENND5A DNOV00003068 423048
DENND1B DNOV00010470 424351
SLC34A1 DNOV00002701 395402
ARHGAP24 DNOV00012223 422593
TEAD4 DNOV00016281 395542
PCNX DNOV00001123 426230
MGRN1 DNOV00009809 416660
RNF157 DNOV00000414 429219
FAR2 DNOV00015633 419043
CACNA2D4 DNOV00004383 100858946
CACNA2D1 DNOV00010436 768444
TBC1D5 DNOV00006894 420646
FOXN3 DNOV00006217 423402
ACSM4 DNOV00014322 426991
GRM3 DNOV00004856 418644
GRM2 DNOV00013285 427575
ZRANB2 DNOV00011340 424717
OLFML2B DNOV00006248 424366
TGFBI DNOV00002926 395897
LOC772096 DNOV00010685 772096
GLP1R DNOV00004943 428573
DCUN1D4 DNOV00002078 422762
DCUN1D2 DNOV00009740 418740
COL4A3 DNOV00001877 424797
COL4A1 DNOV00015003 395530
COL4A5 DNOV00017149 422348
COL4A4 DNOV00001875 424799
LUC7L3 DNOV00000500 428677
LUC7L DNOV00009818 416654
GDAP1L1 DNOV00008472 419201
GDAP1 DNOV00008047 420191
FAM13A DNOV00017358 422515
FAM13C DNOV00011988 423602
PPIG DNOV00000074 424162
NKTR DNOV00002450 420388
CASP10 DNOV00000654 424081
RHEB DNOV00002497 420434
UGT8 DNOV00015182 374033
UGT2A3 DNOV00015621 422660
GLRX2 DNOV00006232 424357
EPHA5 DNOV00015611 395997
EPHA3 DNOV00011381 396402
GIPC2 DNOV00016386 424549
TBXAS1 DNOV00006312 418101
BRD2 DNOV00017126 417049
LOC100859056 DNOV00015832 100859056
ELMO2 DNOV00014164 419307
C4H4ORF41 DNOV00008609 428748
GABRG3 DNOV00003124 770097
MYH7B DNOV00015559 395279
FAM57A DNOV00006164 427836
PCDH1 DNOV00011898 416194
TNRC6C DNOV00013620 417348
TNRC6A DNOV00008706 416570
CPD DNOV00006131 417590
VPS16 DNOV00016969 426571
PHF3 DNOV00013704 428641
ZC3H18 DNOV00014752 415838
NHLH1 DNOV00015166 373910
CBR4 DNOV00010721 422435
HPGD DNOV00008582 422567
FAM40B DNOV00017078 416676
ETS1 DNOV00012676 396235
PLD5 DNOV00005589 421501
CAMSAP1 DNOV00003465 417127
LOC100858166 DNOV00018424 100858166
UBA6 DNOV00015617 422655
LOC101750090 DNOV00016946 101750090
RASGEF1C DNOV00013115 416296
RASGEF1B DNOV00017975 100859744
OTUD7B DNOV00016922 426041
OTUD7A DNOV00003307 415380
PIM3 DNOV00008910 768655
PDE1C DNOV00014473 420752
KIAA0319 DNOV00009185 428476
KIAA0319L DNOV00011642 419634
ATP9B DNOV00009212 420817
RNF128 DNOV00008863 422382
MMS22L DNOV00014020 421799
B4GALNT3 DNOV00004369 418150
B4GALNT4 DNOV00015595 770601
CSGALNACT1 DNOV00016403 422488
SEMA5A DNOV00015062 420931
HNF4A DNOV00008477 419198
HNF4G DNOV00008044 428364
PDCD4 DNOV00007217 374191
LOC420370 DNOV00017238 420370
ARID3B DNOV00002896 100859297
RGS18 DNOV00006240 424361
RXFP2 DNOV00009148 428695
EML6 DNOV00008029 421215
EML1 DNOV00005487 423452
EML4 DNOV00010285 771345
SLIT1 DNOV00008329 395293
SLIT2 DNOV00003364 373967
CITED2 DNOV00002351 395399
MYLK2 DNOV00009037 396356
TGOLN2 DNOV00017485 426548
DIS3L2 DNOV00006074 424934
GPR98 DNOV00013811 431566
GPN3 DNOV00000838 427696
XAB1 DNOV00015047 421980
ADAT1 DNOV00013461 415886
ADAM17 DNOV00007446 421931
ADAM10 DNOV00003342 374113
ZDHHC15 DNOV00005798 422329
ZDHHC2 DNOV00014838 422734
ZDHHC20 DNOV00004184 418947
DYNC1I2 DNOV00000056 424151
POU3F3 DNOV00001639 100857422
GNAS DNOV00015290 419313
RAB2A DNOV00016658 396153
NYAP2 DNOV00001870 424802
KCNK10 DNOV00006227 428902
LOC396454 DNOV00009407 396454
ATXN7L1 DNOV00010393 427847
ATXN7 DNOV00005103 416078
LOC420860 DNOV00008686 420860
TMEM14C DNOV00015277 420851
CHRNA7 DNOV00003333 374001
UBE2V1 DNOV00013874 100538349
UBE2V2 DNOV00013209 421109
COPE DNOV00015819 420117
SLC1A4 DNOV00003514 769612
KIF3B DNOV00009048 419284
HNRNPU DNOV00005576 421492
LOC101749380 DNOV00016534 101749380
PIP4K2A DNOV00016112 420504
NAA15 DNOV00009654 422440
GTF2H4 DNOV00003256 417256
GPR56 DNOV00007553 415633
ACTG1 DNOV00002895 415296
ACTB DNOV00015090 396526
LOC101752140 DNOV00017140 101752140
APBA1 DNOV00005697 427246
TOPORS DNOV00019065 427342
ACOX3 DNOV00003432 422869
ACOX2 DNOV00011457 416068
AXIN1 DNOV00009826 395786
FMR1 DNOV00018444 422395
TXLNB DNOV00002352 395515
THBS4 DNOV00002785 396306
THBS2 DNOV00004474 414837
THBS1 DNOV00001173 373987
NBEA DNOV00014533 395195
LRBA DNOV00017467 422476
CCDC30 DNOV00004701 419508
STAG3 DNOV00015683 418671
STAG2 DNOV00008902 422360
PLSCR1 DNOV00010666 424883
LOC416036 DNOV00007638 416036
CYFIP2 DNOV00005619 416246
CYFIP1 DNOV00003116 418677
SLC17A6 DNOV00010334 422971
LHX5 DNOV00001327 771259
LHX1 DNOV00003752 396381
PSAP DNOV00012093 395602
LOC100859653 DNOV00012758 100859653
APBB2 DNOV00002041 422781
DEPDC1B DNOV00010140 427152
TP53INP2 DNOV00006995 769066
CUX2 DNOV00000801 416875
PDE5A DNOV00011262 422677
GRM4 DNOV00000346 419906
IQGAP2 DNOV00002759 427211
C20H20ORF43 DNOV00015843 419329
LOC101750531 DNOV00002125 101750531
MAPKAPK5 DNOV00000797 373929
ALDH1A2 DNOV00003347 395844
ANKS1B DNOV00008360 417927
ANKS1A DNOV00000356 419898
MCCC2 DNOV00013793 427395
BRPF1 DNOV00007621 427590
BRD1 DNOV00008906 417731
BRPF3 DNOV00000378 421182
GMDS DNOV00008638 420890
MYL9 DNOV00006999 396215
TCF3 DNOV00013520 395146
SEC31A DNOV00012217 422597
SEC31B DNOV00007062 423764
SEC11A DNOV00002835 415334
SEC11C DNOV00014395 426850
UPRT DNOV00005796 422327
SCRN3 DNOV00000034 426472
SCRN2 DNOV00016305 425759
TLN2 DNOV00003297 415374
TLN1 DNOV00015153 395194
PNLIPRP3 DNOV00012253 771374
APOB DNOV00013955 396535
LRRC4B DNOV00019063 100857901
LOC430382 DNOV00015520 430382
PIK3CG DNOV00010384 417706
PIK3CA DNOV00016986 424971
PIK3CB DNOV00001838 424826
PIK3CD DNOV00004643 419444
CAPG DNOV00018218 431244
SCIN DNOV00003862 420588
C20H20ORF112 DNOV00009050 771902
ACAP2 DNOV00010645 424895
COQ2 DNOV00016646 422605
SFRP1 DNOV00013315 395237
FZD7 DNOV00000666 374060
SFRP4 DNOV00013527 420732
CORIN DNOV00002065 100857733
EPHX4 DNOV00004247 424505
LOC101749333 DNOV00017379 101749333
CEP78 DNOV00014054 431612
GABRA6 DNOV00016074 395931
NRAP DNOV00007203 423899
MPPED2 DNOV00012306 421604
USP5 DNOV00011796 418290
USP13 DNOV00006020 429286
CPS1 DNOV00000728 428994
CAD DNOV00018117 428659
ABLIM1 DNOV00012242 423911
SUPT3H DNOV00011061 422053
HEPHL1 DNOV00006937 418998
CP DNOV00013724 771940
ATAD2 DNOV00007801 420346
SRGAP2 DNOV00000273 419843
SRGAP1 DNOV00010892 417821
B4GALT1 DNOV00014988 396121
LOC100858929 DNOV00011125 100858929
RASGRF2 DNOV00013490 100859132
FSIP1 DNOV00001171 423286
CMIP DNOV00011508 425774
ARL8A DNOV00007256 421175
ARL8B DNOV00005167 416109
LOC769134 DNOV00008938 769134
ARHGEF10 DNOV00016581 421900
LOC101751279 DNOV00018338 101751279
ATRN DNOV00010561 422946
HHIPL2 DNOV00001225 421339
CLYBL DNOV00011209 418775
CNTNAP2 DNOV00014442 768456
SORCS1 DNOV00007231 423885
ATP13A1 DNOV00012517 426090
ATP13A2 DNOV00017054 419466
ATP13A5 DNOV00010632 424902
ATP13A3 DNOV00010640 424898
BRAP DNOV00000798 772041
FAM195A DNOV00009786 425184
EZH1 DNOV00017496 420023
PHIP DNOV00009305 421854
BRWD3 DNOV00001648 422281
LOC101747893 DNOV00007861 101747893
CPNE8 DNOV00009551 417690
CPNE4 DNOV00013181 420687
CPNE2 DNOV00007534 415646
CNN2 DNOV00008963 100216000
WWOX DNOV00009373 415801
WASH1 DNOV00004361 418145
SNCA DNOV00017509 395393
TLL1 DNOV00010733 395441
PHB DNOV00010490 419980
CARD9 DNOV00003475 427756
CDC73 DNOV00006230 424356
BZRAP1 DNOV00001653 417469
P2RX4 DNOV00000832 374166
ARHGAP25 DNOV00014061 419516
NRBP1 DNOV00015042 421985
NRBP2 DNOV00016155 776552
AFAP1L2 DNOV00012241 423908
SH3BGR DNOV00007319 418523
SH3BGRL2 DNOV00009302 421851
LOC100859707 DNOV00004340 100859707
FNDC3A DNOV00003642 418863
EPHB1 DNOV00010798 396177
RYBP DNOV00005141 416095
OTOF DNOV00017408 422007
DYSF DNOV00017072 425353
PPP3CA DNOV00007980 395113
SMARCA5 DNOV00009630 422457
SMARCA1 DNOV00016151 422358
SH3RF3 DNOV00009721 418731
VSX2 DNOV00003989 395536
BARHL1 DNOV00006755 429598
USP54 DNOV00007032 423746
USP53 DNOV00011266 422680
PPP1R12A DNOV00004104 396020
RFTN2 DNOV00000635 424062
DGAT2 DNOV00011970 421309
MOGAT1 DNOV00001858 424811
DENND2A DNOV00006332 418115
DENND2D DNOV00007289 421153
EFR3B DNOV00013591 422012
EFR3A DNOV00005823 420327
ASB13 DNOV00015740 416691
CZH9ORF102 DNOV00004499 427469
ERCC6L DNOV00013012 422135
CCL4 DNOV00013904 395551
COL6A1 DNOV00010949 396000
LOC100858559 DNOV00004355 100858559
NNT DNOV00016032 427196
MAD1L1 DNOV00001975 427658
CCDC3 DNOV00004836 769832
RINT1 DNOV00010395 427848
DIAPH1 DNOV00018105 374040
DAAM2 DNOV00011001 421422
SLC35A1 DNOV00011834 395184
AHCY DNOV00017786 419146
