geneName	gene	geneID
DNAJC19	DNOV00006026	gene9473
KCNMB2	DNOV00016989	gene9487
SPTSSB	DNOV00007075	gene9535
VEPH1	DNOV00009907	gene9561
DHX36	DNOV00009920	gene9575
MBNL1	DNOV00009924	gene9579
PPCDC	DNOV00002911	gene9673
COX5A	DNOV00002909	gene9676
PEAK1	DNOV00017320	gene9715
TM2D3	DNOV00003326	gene9774
AQP9	DNOV00003346	gene9790
SPATA5L1	DNOV00004705	gene9852
USP8	DNOV00004716	gene9861
GABPB1	DNOV00004717	gene9862
TM6SF1	DNOV00004731	gene9874
KLHL25	DNOV00015717	gene9928
SPG21	DNOV00006803	gene9972
MORF4L1	DNOV00013405	gene10027
NDRG4	DNOV00007570	gene10084
LOC431235	DNOV00010038	gene10187
FBXL8	DNOV00011445	gene10207
SLC12A4	DNOV00011421	gene10224
SNX20	DNOV00007680	gene10242
CES1	DNOV00009344	gene10317
BANP	DNOV00015510	gene10403
NOB1	DNOV00013442	gene10458
ZNF821	DNOV00013454	gene10472
GABARAPL2	DNOV00013462	gene10483
SPCS1	DNOV00012749	gene10513
NEK4	DNOV00012750	gene10514
LOC100858836	DNOV00011372	gene10589
ATP2B2	DNOV00015231	gene10616
C12H9orf89	DNOV00013200	gene10657
RAB7A	DNOV00018232	gene10697
CHCHD6	DNOV00007652	gene10711
PLXNA1	DNOV00007649	gene10712
CHST13	DNOV00007645	gene10714
FHIT	DNOV00011452	gene10770
CADPS	DNOV00005099	gene10779
CAND2	DNOV00012485	gene10856
KCNIP1	DNOV00014449	gene10946
PANK3	DNOV00014464	gene10955
CCNG1	DNOV00016079	gene10965
GABRB2	DNOV00016072	gene10969
FABP6	DNOV00005676	gene10976
RPL26L1	DNOV00002681	gene11006
LOC100857575	DNOV00005622	gene11076
DCTN4	DNOV00005656	gene11110
SQSTM1	DNOV00002647	gene11132
GFPT2	DNOV00013119	gene11144
PITX1	DNOV00002936	gene11176
IL13	DNOV00002970	gene11212
HSPA4	DNOV00002984	gene11230
REEP2	DNOV00003024	gene11261
RRN3	DNOV00002239	gene11276
AIMP2	DNOV00001922	gene11300
GPR146	DNOV00001957	gene11331
ZFAND2A	DNOV00001960	gene11333
KIAA0415	DNOV00002005	gene11363
BUD31	DNOV00005259	gene11382
SLC5A10	DNOV00005293	gene11419
GRAP	DNOV00005295	gene11420
GNG13	DNOV00005309	gene11434
DCTN5	DNOV00008702	gene11480
RPS15A	DNOV00002225	gene11517
CCP110	DNOV00014313	gene11528
NPRL3	DNOV00009831	gene11584
LOC100858938	DNOV00009824	gene11593
AMDHD2	DNOV00009774	gene11685
IQCK	DNOV00014316	gene11707
LOC100858080	DNOV00009830	gene11725
HIC2	DNOV00011709	gene11736
COMT	DNOV00012995	gene11766
RILPL1	DNOV00000857	gene11820
ATP2A2	DNOV00000835	gene11840
ALDH2	DNOV00000797	gene11884
DGCR2	DNOV00011723	gene11953
SMPD4	DNOV00001404	gene11984
PATZ1	DNOV00001375	gene12007
AIFM3	DNOV00015937	gene12058
ZMAT5	DNOV00013128	gene12087
TBX3	DNOV00001324	gene12111
RGS3	DNOV00003280	gene12264
LOC417263	DNOV00003270	gene12276
SLC25A25	DNOV00003203	gene12323
METTL11A	DNOV00006720	gene12381
LOC417192	DNOV00006724	gene12385
C17H9orf9	DNOV00006759	gene12421
FAM69B	DNOV00003483	gene12460
LOC100859101	DNOV00003468	gene12480
MRRF	DNOV00011779	gene12503
RALGPS1	DNOV00016665	gene12541
ELAC2	DNOV00007190	gene12569
PMP22	DNOV00007161	gene12586
C18H17orf62	DNOV00007142	gene12602
TNRC6C	DNOV00013620	gene12610
MGAT5B	DNOV00013624	gene12614
MFSD11	DNOV00013625	gene12615
TEX2	DNOV00000541	gene12708
LOC100859465	DNOV00000556	gene12721
BAIAP2	DNOV00013264	gene12785
RPTOR	DNOV00013267	gene12787
AFMID	DNOV00014799	gene12811
LOC769277	DNOV00012400	gene12824
SPAG9	DNOV00000505	gene12829
EME1	DNOV00000490	gene12845
NAT9	DNOV00000482	gene12854
C18H17orf28	DNOV00000473	gene12862
ATP5H	DNOV00000461	gene12867
DDX25	DNOV00017983	gene12900
ELN	DNOV00001664	gene12940
AUTS2	DNOV00001680	gene12949
LOC100859865	DNOV00001698	gene12960
STYXL1	DNOV00001743	gene12999
TPST1	DNOV00007408	gene13034
SERPINF2	DNOV00007390	gene13056
SLC13A2	DNOV00007373	gene13076
CORO6	DNOV00000780	gene13108
ZSWIM7	DNOV00006138	gene13122
SKA2	DNOV00006172	gene13160
LOC100859083	DNOV00003757	gene13189
HNF1B	DNOV00003743	gene13203
NF1	DNOV00003723	gene13215
SLC13A5	DNOV00003703	gene13239
LOC431205	DNOV00008503	gene13321
DHX35	DNOV00008516	gene13357
TP53TG5	DNOV00008497	gene13374
CCNDBP1	DNOV00014168	gene13421
NKAIN4	DNOV00006525	gene13461
KCNQ2	DNOV00006531	gene13466
PCMTD2	DNOV00006536	gene13471
ZGPAT	DNOV00016699	gene13491
HM13	DNOV00009033	gene13519
LOC771972	DNOV00009069	gene13554
TFAP2C	DNOV00015845	gene13606
DOK5	DNOV00015835	gene13618
MRPS16	DNOV00014978	gene13671
ACOT7	DNOV00018324	gene13689
KCNAB2	DNOV00009913	gene13695
UBE2J2	DNOV00010606	gene13756
HES1	DNOV00010621	gene13770
UBE4B	DNOV00004648	gene13794
CAPZB	DNOV00013916	gene13834
VPS13D	DNOV00004688	gene13871
PPIH	DNOV00014775	gene13909
NEFL	DNOV00005225	gene13956
BAG4	DNOV00014338	gene13994
WHSC1L1	DNOV00014334	gene13997
GMEB1	DNOV00009857	gene14135
DNALI1	DNOV00013652	gene14188
OSCP1	DNOV00013646	gene14195
PSMB2	DNOV00011645	gene14210
ZBTB8OS	DNOV00001511	gene14261
ADC	DNOV00001500	gene14270
HMGCL	DNOV00001479	gene14292
FEZ1	DNOV00017684	gene14315
HYLS1	DNOV00017982	gene14328
PRDM10	DNOV00012663	gene14352
ZNF259	DNOV00016090	gene14429
SLC37A4	DNOV00013939	gene14474
CHTOP	DNOV00017690	gene14541
LOC429566	DNOV00018113	gene14714
SMPD2	DNOV00000369	gene14734
SRPK1	DNOV00000375	gene14741
MAPK14	DNOV00000377	gene14743
TBC1D22B	DNOV00000380	gene14747
DRAM2	DNOV00007292	gene14785
UBE2T	DNOV00007295	gene14788
STK38	DNOV00000392	gene14813
NFASC	DNOV00000298	gene14834
DYRK3	DNOV00000269	gene14866
NGF	DNOV00017919	gene14937
TLK2	DNOV00009094	gene15109
CYB561	DNOV00009100	gene15112
ZNF652	DNOV00010491	gene15150
ATP5G1	DNOV00010500	gene15158
RPL23	DNOV00015453	gene15193
FBXL20	DNOV00015443	gene15200
CDK12	DNOV00015441	gene15202
STARD3	DNOV00018225	gene15204
ORMDL3	DNOV00017037	gene15214
LOC427013	DNOV00014480	gene15248
MARCH2	DNOV00008215	gene15345
PIAS4	DNOV00013036	gene15393
RFX2	DNOV00013049	gene15403
SBNO2	DNOV00008958	gene15480
ARMC6	DNOV00015822	gene15521
CRTC1	DNOV00015813	gene15531
LOC769000	DNOV00007930	gene15595
WDR7	DNOV00014377	gene15630
GRP	DNOV00014395	gene15638
CTIF	DNOV00007925	gene15649
CZH9orf25	DNOV00016132	gene15707
MRPL17	DNOV00015160	gene15757
C1QTNF3	DNOV00010829	gene15773
WDR70	DNOV00012728	gene15793
TTC33	DNOV00012739	gene15802
CZH5orf28	DNOV00016030	gene15818
PARP8	DNOV00016038	gene15826
MOCS2	DNOV00010106	gene15831
CZH5orf35	DNOV00010131	gene15858
GPBP1	DNOV00010133	gene15861
CZH5orf44	DNOV00002805	gene15888
CRHBP	DNOV00002764	gene15923
KIAA1432	DNOV00012159	gene15992
LOC427250	DNOV00005690	gene16052
TLE1	DNOV00004532	gene16081
UBQLN1	DNOV00004527	gene16085
HNRNPK	DNOV00004522	gene16089
CZH9orf21	DNOV00004492	gene16118
NXNL2	DNOV00004552	gene16126
AUH	DNOV00004540	gene16138
CDC42SE2	DNOV00004536	gene16142
FAM174A	DNOV00017882	gene16180
LOC100858057	DNOV00013429	gene16314
ELAVL2	DNOV00018256	gene16337
IKBKAP	DNOV00014983	gene16356
SEMA6A	DNOV00015913	gene16384
ATG12	DNOV00015919	gene16390
ALDH7A1	DNOV00009592	gene16417
SCN8A	DNOV00014926	gene16448
SMARCD1	DNOV00014935	gene16461
SPATS2	DNOV00017966	gene16508
LOC100857892	DNOV00017989	gene16769
TMEM106C	DNOV00017287	gene16818
LOC100857700	DNOV00017232	gene17681
LOC426023	DNOV00018502	gene17716
TRAPPC2	DNOV00011874	gene1542
STON2	DNOV00015322	gene7111
LOXL2	DNOV00005217	gene13963
SNAP29	DNOV00011712	gene11733
HOXB13	DNOV00010503	gene15160
NBN	DNOV00005036	gene3562
EEF2K	DNOV00001907	gene11534
ZNF335	DNOV00017301	gene13570
DOK1	DNOV00018471	gene6356
STAU1	DNOV00015545	gene13413
PRSS55	DNOV00013573	gene5032
DCX	DNOV00005811	gene5403
SEL1L3	DNOV00011296	gene6125
SLC25A28	DNOV00016489	gene7773
ORAI2	DNOV00001731	gene12988
CASKIN2	DNOV00000446	gene12881
ABCD2	DNOV00009554	gene176
SRGAP3	DNOV00012492	gene10850
NKIRAS1	DNOV00016357	gene2747
C3H6orf203	DNOV00006657	gene4669
TBX5	DNOV00001325	gene12112
SLC38A11	DNOV00000101	gene8316
TXLNA	DNOV00001517	gene14254
SGK3	DNOV00008088	gene3479
CWC22	DNOV00017526	gene8217
LOC420491	DNOV00008291	gene2480
C6H10orf122	DNOV00008420	gene7965
SCLT1	DNOV00015862	gene5619
EIF4E3	DNOV00005138	gene10815
RARS2	DNOV00011833	gene4731
SLITRK4	DNOV00018366	gene5328
RABL5	DNOV00001720	gene12978
IL17RD	DNOV00007597	gene10676
CDH4	DNOV00006496	gene13430
NAB1	DNOV00000605	gene8002
ZNF513	DNOV00015039	gene4969
STOML1	DNOV00002886	gene9697
AQP12	DNOV00013561	gene9213
LOC100859489	DNOV00014704	gene2064
TCP10	DNOV00004486	gene4391
QKI	DNOV00005986	gene4403
WDR33	DNOV00001797	gene9158
ZCCHC17	DNOV00009879	gene14083
PIGM	DNOV00005597	gene4302
CYTH3	DNOV00001919	gene11545
TINAGL1	DNOV00011623	gene14236
CCNT2	DNOV00014416	gene8484
PLEK	DNOV00003528	gene3953
CHRM2	DNOV00006347	gene757
SEMA5B	DNOV00009493	gene8436
C1QC	DNOV00014762	gene13898
WASF1	DNOV00006628	gene4648
SLC6A7	DNOV00002658	gene11120
STK25	DNOV00011104	gene9243
MOBKL2C	DNOV00005907	gene8963
GAD2	DNOV00008294	gene2482
PHF5A	DNOV00002573	gene563
GEMIN8	DNOV00017445	gene1539
TRAPPC4	DNOV00013938	gene14473
KCTD18	DNOV00000643	gene8144
RASA3	DNOV00009731	gene1685
LOC421982	DNOV00015044	gene4963
IFT46	DNOV00013944	gene14462
HLCS	DNOV00007336	gene1373
G3BP1	DNOV00005642	gene11097
KIAA2026	DNOV00012155	gene15995
MTRF1	DNOV00014080	gene1843
PADI1	DNOV00017051	gene13668
SF3A2	DNOV00016617	gene15421
CXXC5	DNOV00012372	gene10898
FAM54B	DNOV00001454	gene14139
LOC426881	DNOV00014934	gene16460
POLE3	DNOV00003279	gene12265
MRP63	DNOV00004185	gene2000
TUSC2	DNOV00012760	gene10535
EXOSC1	DNOV00008333	gene7793
HBEGF	DNOV00012364	gene10906
LOC396473	DNOV00012854	gene4631
KIAA1486	DNOV00001870	gene9300
LRRC32	DNOV00011961	gene2156
GLO1	DNOV00004946	gene4201
GNG11	DNOV00000989	gene2578
ATAD2B	DNOV00013963	gene4949
NLRP3	DNOV00013828	gene6366
LOC100859343	DNOV00018021	gene16808
HARBI1	DNOV00006672	gene6818
FAM123A	DNOV00004171	gene1989
TTC21B	DNOV00000093	gene8310
DHRS3	DNOV00004689	gene13870
PFDN1	DNOV00012365	gene10905
TNFSF11	DNOV00014087	gene1850
KLHL34	DNOV00007469	gene1500
REV1	DNOV00003145	gene1633
LOC423967	DNOV00008439	gene7983
SOCS4	DNOV00011527	gene7350
COL8A2	DNOV00011652	gene14202
SLC6A15	DNOV00016630	gene393
ANKRD60	DNOV00017615	gene13595
ANKZF1	DNOV00000145	gene8357
CMTM6	DNOV00001032	gene2772
HPSE	DNOV00016645	gene5789
POMC	DNOV00013592	gene5012
NIPAL4	DNOV00005618	gene11072
LIPG	DNOV00007919	gene15644
TMEM14A	DNOV00018756	gene4848
LOC421253	DNOV00010186	gene3866
PBK	DNOV00016297	gene4999
RPL10A	DNOV00000360	gene14942
NPDC1	DNOV00011179	gene12238
GOLT1B	DNOV00010539	gene846
ADRB2	DNOV00002673	gene17183
DYRK2	DNOV00004048	gene330
MRPS6	DNOV00013761	gene1354
MUC6	DNOV00017609	gene6656
MSLNL	DNOV00005312	gene11437
HMGXB4	DNOV00004315	gene663
NDUFV1	DNOV00014307	gene6373
SOAT1	DNOV00002187	gene8703
SYNJ2	DNOV00008814	gene4481
SREBF1	DNOV00005277	gene11402
GLT8D2	DNOV00004275	gene705
WDR75	DNOV00000591	gene8017
PLCG2	DNOV00011507	gene10362
LOC426852	DNOV00014393	gene15635
ARL1	DNOV00013415	gene461
UNC5D	DNOV00005177	gene13979
IKBKB	DNOV00013305	gene14020
CHID1	DNOV00016056	gene6658
NDUFB8	DNOV00007061	gene7670
PSMB4	DNOV00013980	gene14703
RNASEH2B	DNOV00003654	gene1903
C21H1orf187	DNOV00004673	gene13887
LOC100857291	DNOV00011138	gene17591
CHRNA10	DNOV00017008	gene2204
PHF17	DNOV00015861	gene5636
TMEM132E	DNOV00001760	gene13014
MPPED1	DNOV00004891	gene894
VLDLR	DNOV00012966	gene15973
MYOD1	DNOV00006429	gene6602
ATG5	DNOV00006663	gene4674
SPHK1	DNOV00013637	gene12627
DHRS12	DNOV00003662	gene1909
TM7SF4	DNOV00007751	gene3636
RBBP6	DNOV00008709	gene11476
PAQR3	DNOV00015770	gene5752
APOVLDLII	DNOV00014853	gene1137
NGEF	DNOV00001781	gene9145
CCDC117	DNOV00016004	gene11944
LOC100859138	DNOV00015699	gene3849
NMBR	DNOV00002344	gene4505
CHMP7	DNOV00005215	gene13966
MEOX2	DNOV00003873	gene2618
ACAA1	DNOV00002472	gene2382
TKT	DNOV00013192	gene10663
CDH2	DNOV00016540	gene3379
PHF12	DNOV00007355	gene13099
FOXN1	DNOV00007372	gene13077
DPM1	DNOV00013866	gene13634
TMEM128	DNOV00003401	gene6179
DTNB	DNOV00016786	gene4980
IKZF2	DNOV00000733	gene8050
RGS1	DNOV00006239	gene8608
ENO4	DNOV00012257	gene7904
XAF1	DNOV00003704	gene13238
PROK1	DNOV00000404	gene14803
LIAS	DNOV00002030	gene6096
LOC100857144	DNOV00017594	gene3808
RRM2	DNOV00007439	gene4900
IARS	DNOV00015230	gene10614
HOXC8	DNOV00017893	gene17453
RRAS2	DNOV00003056	gene6580
ADAM22	DNOV00000949	gene2539
PLCL1	DNOV00000637	gene8136
NUP88	DNOV00001717	gene12976
